,Марка,YearMonth,Страховая сумма,Количество дней от события до урегулирования,Оценка убытка
3938,Жигули,202309,413631.62455458514,6.0,123568
3939,Лада Самара,202401,490489.5347093641,6.0,119550
3940,Киа,202501,2643157.1591184232,0.0,161335
3941,Жигули,202408,422247.99578911194,7.0,107886
3942,Киа,202409,3027380.8595951525,8.0,161456
3943,Жигули,202412,479037.3393095526,45.0,118588
3944,Киа,202409,1571523.2596574347,44.0,191539
3945,Lada,202404,1324859.0511819818,8.0,143700
3946,Мерседес-Бенц,202307,5361727.57171536,4.0,215738
3947,Лада Самара,202407,409884.70800028235,55.0,160956
3948,Lada,202501,1292517.0427719126,8.0,135241
3949,Lada,202304,829357.7435795022,16.0,142807
3950,Жигули,202409,323449.72792507894,21.0,106973
3951,Жигули,202307,325130.4410416799,34.0,123174
3952,Лада Самара,202409,306673.84999319067,0.0,126618
3953,Киа,202312,2858024.4346473,28.0,126440
3954,Киа,202304,1980584.6412977017,7.0,156562
3955,Лада Самара,202306,252242.90724272263,121.0,156998
3956,Киа,202403,2004867.3029925735,3.0,161117
3957,Мерседес-Бенц,202411,10079576.38045122,13.0,235297
3958,Жигули,202306,426904.53321167815,32.0,131631
3959,Киа,202408,2793794.2895603324,18.0,152720
3960,Киа,202409,2830987.2147842804,18.0,126683
3961,Жигули,202410,249755.37231053968,-100.0,112060
3962,Лада Самара,202402,522262.38910044124,68.0,138364
3963,Мерседес-Бенц,202311,5021642.497372017,37.0,196684
3964,Lada,202307,854777.6150088484,40.0,124960
3965,Mercedes,202309,3718374.314839523,13.0,296596
3966,Жигули,202306,322257.85127466306,33.0,141387
3967,Киа,202408,1562268.6619984307,24.0,188391
3968,Киа,202407,2265622.7915986846,4.0,140771
3969,Mercedes,202404,10053924.458600497,20.0,227662
3970,Киа,202302,2674470.6023144927,17.0,145754
3971,Lada,202406,991941.9612481224,18.0,112297
3972,Киа,202403,1454809.227971208,24.0,157878
3973,Lada,202410,604044.304591232,24.0,129537
3974,Лада Самара,202406,189775.77486351036,6.0,125189
3975,Лада Самара,202401,365074.73815219116,14.0,124152
3976,Жигули,202307,341377.66378162906,14.0,120551
3977,Киа,202407,1996047.633322093,27.0,164236
3978,Лада Самара,202406,384240.2644880204,6.0,120749
3979,Киа,202309,1393501.6444571728,31.0,146515
3980,Жигули,202402,395503.1417293556,4.0,116330
3981,Мерседес-Бенц,202304,10074244.114496667,106.0,208470
3982,Киа,202407,1847423.8108755276,36.0,140129
3983,Киа,202409,2057141.827887961,16.0,159464
3984,Киа,202409,2874029.3750868817,29.0,152820
3985,Lada,202401,1305551.8472470753,15.0,132305
3986,Киа,202304,1884037.9405291942,62.0,159524
3987,Жигули,202402,364557.17106112395,32.0,121031
3988,Мерседес-Бенц,202308,6365145.118066978,-100.0,189383
3989,Мерседес-Бенц,202307,6599877.414997418,1.0,203659
3990,Lada,202501,737599.8248336487,33.0,138185
3991,Жигули,202409,403574.97567828547,4.0,98312
3992,Лада Самара,202311,543904.8705320277,-100.0,145494
3993,Lada,202305,812209.4813169459,5.0,117684
3994,Лада Самара,202312,528014.4808071917,9.0,133875
3995,Киа,202307,2400431.5646049855,20.0,145828
3996,Мерседес-Бенц,202501,4055248.080613828,32.0,210543
3997,Мерседес-Бенц,202303,6463481.042801211,28.0,197268
3998,Lada,202310,894046.6924021774,10.0,138692
3999,Лада Самара,202408,775978.7026272315,12.0,153711
4000,Lada,202411,502877.63128825475,11.0,127603
4001,Киа,202501,1524366.1075200364,1.0,139050
4002,Мерседес-Бенц,202410,6453623.377887269,74.0,195484
4003,Киа,202404,1839317.0709449179,4.0,152785
4004,Мерседес-Бенц,202408,9044674.263746295,3.0,196913
4005,Киа,202407,2059666.7689344513,53.0,154903
4006,Lada,202404,871187.884037227,20.0,120885
4007,Лада Самара,202310,421393.8405589619,12.0,134829
4008,Lada,202412,1041792.5590602418,12.0,113133
4009,Киа,202310,2286818.653680553,33.0,160449
4010,Киа,202303,1386995.379884968,30.0,141932
4011,Киа,202304,1367263.6919238593,-100.0,141162
4012,Лада Самара,202412,295175.87758009596,3.0,132576
4013,Киа,202402,2093918.158710778,6.0,134146
4014,Жигули,202308,320564.3451588922,38.0,110623
4015,Киа,202405,2626857.074068299,52.0,194939
4016,Мерседес-Бенц,202403,5952387.3450164255,76.0,209203
4017,Мерседес-Бенц,202310,6408855.755011864,28.0,227801
4018,Lada,202408,1188259.5308265744,26.0,128025
4019,Киа,202411,3096831.6769120246,46.0,150778
4020,Жигули,202407,346157.81306317134,1.0,108390
4021,Лада Самара,202308,649854.4075912351,37.0,156653
4022,Mercedes,202412,4773397.926440286,136.0,238323
4023,Мерседес-Бенц,202407,5756676.339311806,81.0,202128
4024,Киа,202302,2975503.9215177936,21.0,160371
4025,Киа,202412,2747392.065513185,7.0,140168
4026,Киа,202303,2225672.124917778,49.0,134231
4027,Лада Самара,202403,302548.9492405877,25.0,151109
4028,Lada,202405,651337.8705525369,5.0,129882
4029,Киа,202301,1490289.3724561038,26.0,157204
4030,Жигули,202309,461339.1396362312,23.0,119073
4031,Жигули,202312,341862.3259178778,11.0,125840
4032,Mercedes,202408,7335323.053138955,22.0,188608
4033,Lada,202403,959089.4653449175,9.0,124352
4034,Мерседес-Бенц,202302,4286734.132106975,15.0,171111
4035,Киа,202403,2473111.9660263876,35.0,180377
4036,Киа,202501,1904367.4890443,-100.0,155753
4037,Лада Самара,202306,723577.2309126235,10.0,130100
4038,Мерседес-Бенц,202309,5623180.530136195,47.0,191565
4039,Киа,202301,1518998.2394470826,39.0,170310
4040,Мерседес-Бенц,202401,8142060.983312878,29.0,248602
4041,Лада Самара,202402,436208.38045504014,16.0,139089
4042,Киа,202302,2522917.0250659795,12.0,154452
4043,Киа,202302,2099434.160164123,26.0,156171
4044,Киа,202302,2233536.501209143,12.0,143027
4045,Жигули,202304,243929.20020151266,15.0,119093
4046,Мерседес-Бенц,202402,7980957.712086118,14.0,171995
4047,Жигули,202303,347033.38459607953,4.0,107615
4048,Киа,202305,1381069.7593614946,2.0,151558
4049,Мерседес-Бенц,202501,6800549.515793257,32.0,202953
4050,Киа,202407,2712646.9170428347,5.0,168088
4051,Lada,202411,585250.1525690883,5.0,117865
4052,Мерседес-Бенц,202309,11585040.982001927,47.0,233865
4053,Lada,202305,1100241.9904187657,12.0,127601
4054,Жигули,202404,358215.7001398273,15.0,114164
4055,Киа,202309,2195074.6781362672,78.0,144522
4056,Киа,202309,2819883.1196194524,13.0,140322
4057,Lada,202412,980902.15895604,43.0,146051
4058,Лада Самара,202401,348861.4789082602,36.0,128203
4059,Lada,202501,1095919.9415099418,0.0,105475
4060,Киа,202405,3158867.151661675,10.0,155458
4061,Лада Самара,202305,346173.9639041156,6.0,137228
4062,Киа,202310,2027203.0921511762,59.0,151408
4063,Мерседес-Бенц,202410,5221952.560536601,19.0,207250
4064,Лада Самара,202409,331764.4306871272,12.0,133208
4065,Lada,202303,1303473.135687564,39.0,147316
4066,Жигули,202401,421688.8906939674,2.0,136524
4067,Киа,202410,3125295.634010508,45.0,136511
4068,Киа,202407,988072.5127548466,1.0,173817
4069,Киа,202308,2257252.773639155,28.0,174879
4070,Мерседес-Бенц,202402,7428566.9129942665,17.0,200860
4071,Лада Самара,202310,289375.247130432,7.0,136604
4072,Лада Самара,202305,332310.5266337856,0.0,143029
4073,Киа,202307,2686393.68841327,-100.0,164799
4074,Киа,202412,1903043.6465356126,26.0,160919
4075,Lada,202308,1123123.3199072178,8.0,150415
4076,Lada,202407,1052575.6637239521,59.0,118444
4077,Лада Самара,202310,415203.41770014894,13.0,122673
4078,Жигули,202305,388584.1761993255,36.0,121022
4079,Киа,202308,2055952.8441298595,21.0,168303
4080,Жигули,202408,385805.0114573584,33.0,146516
4081,Мерседес-Бенц,202303,7940627.619671263,4.0,217057
4082,Киа,202307,1591643.7864335903,6.0,141289
4083,Lada,202309,559966.7857388069,26.0,134805
4084,Киа,202404,2243157.507341612,8.0,139368
4085,Лада Самара,202407,338211.88566804887,11.0,126328
4086,Мерседес-Бенц,202412,5332894.4341095695,11.0,190475
4087,Жигули,202403,472502.10525093635,1.0,123663
4088,Lada,202305,1126403.7450040842,5.0,139561
4089,Киа,202307,3949730.0315175815,60.0,171540
4090,Мерседес-Бенц,202501,5737141.838808939,134.0,215521
4091,Lada,202304,933910.9224991802,2.0,126583
4092,Лада Самара,202404,452810.8457455974,0.0,132307
4093,Lada,202403,973731.4273198295,61.0,155373
4094,Lada,202309,1353208.795704137,12.0,144455
4095,Lada,202305,639438.5858334561,121.0,157835
4096,Киа,202309,2755731.4910954377,0.0,145528
4097,Киа,202305,2185493.987597545,56.0,132897
4098,Мерседес-Бенц,202401,4617981.048547873,64.0,227230
4099,Жигули,202303,351205.12074785534,8.0,130555
4100,Киа,202407,2175371.518405876,128.0,183085
4101,Жигули,202303,245442.553758856,0.0,104733
4102,Киа,202412,2198125.328697329,16.0,154845
4103,Жигули,202408,345428.9780706518,23.0,124389
4104,Киа,202303,1842058.4311202585,27.0,148392
4105,Мерседес-Бенц,202403,9562457.00350356,63.0,182320
4106,Мерседес-Бенц,202311,5296712.252335044,5.0,195783
4107,Жигули,202302,215956.84355589774,27.0,118728
4108,Lada,202407,1025543.032681529,5.0,128109
4109,Киа,202407,2255178.824835773,24.0,158245
4110,Киа,202306,1381002.495184952,13.0,175802
4111,Киа,202301,3311085.0859896606,,160468
4112,Мерседес-Бенц,202301,5843829.889381778,99.0,193397
4113,Киа,202306,1962358.0395351176,36.0,168799
4114,Lada,202408,1099591.2534031407,6.0,150174
4115,Мерседес-Бенц,202306,7608582.8300004965,29.0,220782
4116,Киа,202404,2054683.7108057763,26.0,178973
4117,Мерседес-Бенц,202407,8156590.70027492,57.0,206307
4118,Lada,202312,789409.571972479,1.0,161753
4119,Lada,202311,489194.29226342513,11.0,137944
4120,Мерседес-Бенц,202303,4014448.5974238743,3.0,159200
4121,Киа,202306,2160081.5631380477,21.0,189466
4122,Lada,202311,1061505.5974486358,68.0,122890
4123,Lada,202401,1213109.3638254965,71.0,136815
4124,Киа,202311,2720304.014220588,25.0,145873
4125,Жигули,202306,508313.1273744775,68.0,120517
4126,Жигули,202402,240353.54465879433,35.0,122097
4127,Мерседес-Бенц,202410,7476889.067761457,129.0,232470
4128,Киа,202404,2662727.3847726225,-100.0,159681
4129,Лада Самара,202412,571974.0279287568,41.0,136293
4130,Мерседес-Бенц,202411,4962633.37491245,7.0,194523
4131,Киа,202312,2363838.874165818,3.0,145182
4132,Лада Самара,202312,366825.35516635905,6.0,148360
4133,Lada,202411,836116.9935460559,14.0,138874
4134,Жигули,202307,167916.9374763117,40.0,113351
4135,Жигули,202409,331995.8554383095,18.0,128843
4136,Lada,202304,796623.2911557752,0.0,150597
4137,Жигули,202307,487123.73540972633,-100.0,110845
4138,Lada,202307,804128.7293765674,66.0,114582
4139,Лада Самара,202407,363409.63323083316,-100.0,131796
4140,Киа,202408,2487035.299367783,1.0,154345
4141,Lada,202410,895861.4322931941,30.0,159761
4142,Киа,202403,2449592.070427282,13.0,139664
4143,Lada,202304,910726.8687365749,14.0,132552
4144,Мерседес-Бенц,202301,6017780.143468259,2.0,191719
4145,Мерседес-Бенц,202401,6475895.258262213,32.0,223344
4146,Киа,202404,2628544.4040433667,9.0,134837
4147,Мерседес-Бенц,202402,6418836.828182317,36.0,239832
4148,Лада Самара,202306,556213.9332824958,6.0,140920
4149,Лада Самара,202306,436473.58769762464,2.0,115379
4150,Lada,202305,907520.1650171186,24.0,132490
4151,Жигули,202501,405209.4918948789,26.0,124369
4152,Мерседес-Бенц,202303,5120901.843514157,30.0,192769
4153,Lada,202401,932893.4049431302,15.0,126101
4154,Lada,202405,1179498.5183404498,41.0,128406
4155,Жигули,202301,571435.7296506107,15.0,113771
4156,Lada,202312,743871.9941371562,4.0,107236
4157,Киа,202307,2575842.870655359,20.0,166193
4158,Lada,202308,1052326.2129506927,77.0,156902
4159,Киа,202406,2200661.2591967317,2.0,123319
4160,Lada,202312,1031719.3817224406,1.0,132018
4161,Киа,202301,2574021.1707259067,6.0,144563
4162,Мерседес-Бенц,202411,7587306.058843761,16.0,199469
4163,Lada,202305,650301.9310482095,8.0,122409
4164,Лада Самара,202310,383697.3035983431,15.0,129287
4165,Lada,202311,944005.5566830558,4.0,166571
4166,Lada,202309,1127358.9137767148,1.0,140624
4167,Lada,202402,730540.252615381,0.0,125431
4168,Мерседес-Бенц,202412,5655789.593569342,50.0,181266
4169,Киа,202402,1541545.4465707503,28.0,144410
4170,Киа,202306,2250998.7957443586,1.0,144742
4171,Киа,202501,2317055.3373976224,9.0,137832
4172,Mercedes,202410,3833250.3920524525,29.0,233229
4173,Mercedes,202501,5536666.490717889,30.0,226084
4174,Lada,202310,527497.7253945977,9.0,145093
4175,Lada,202410,841840.0209593491,33.0,126315
4176,Киа,202311,1552710.5137819343,13.0,157697
4177,Lada,202308,858588.5113392007,27.0,144424
4178,Лада Самара,202309,883153.6259839378,-100.0,139441
4179,Мерседес-Бенц,202411,5711664.781312,2.0,195097
4180,Жигули,202302,332267.3389838991,28.0,130584
4181,Киа,202306,1583231.5193350306,49.0,143674
4182,Lada,202307,737024.4543804774,128.0,114611
4183,Киа,202407,2687495.2352512474,9.0,144637
4184,Киа,202308,2343967.975576883,24.0,152415
4185,Lada,202404,1319071.6306495396,5.0,123327
4186,Лада Самара,202406,512444.26075031084,12.0,133012
4187,Киа,202403,1312545.3241947822,25.0,125825
4188,Lada,202411,1083003.029918988,88.0,147047
4189,Жигули,202404,329156.51533329627,0.0,120452
4190,Киа,202405,2376521.843761953,29.0,151920
4191,Лада Самара,202407,523412.2638786743,21.0,153553
4192,Мерседес-Бенц,202309,4912954.436592712,1.0,180124
4193,Lada,202406,1021899.5851036739,195.0,150539
4194,Лада Самара,202305,478495.5704342116,71.0,142349
4195,Мерседес-Бенц,202310,6986753.610975127,9.0,196179
4196,Лада Самара,202302,732723.3593986965,38.0,134422
4197,Киа,202501,1801726.4957878357,165.0,153221
4198,Жигули,202310,565932.4229149246,111.0,127947
4199,Лада Самара,202306,439558.4564917857,40.0,137743
4200,Киа,202412,1522902.5794420461,16.0,131284
4201,Жигули,202305,541896.7431166044,10.0,131662
4202,Лада Самара,202407,563020.995193797,23.0,148358
4203,Жигули,202306,532057.2338070914,14.0,123459
4204,Лада Самара,202409,539167.476226695,3.0,145230
4205,Мерседес-Бенц,202404,4585524.055574878,-100.0,189545
4206,Мерседес-Бенц,202302,9192477.8407839,2.0,236791
4207,Lada,202402,1563474.9467559985,-100.0,126405
4208,Киа,202408,2702773.209670309,9.0,166181
4209,Мерседес-Бенц,202309,4821427.526353063,,201277
4210,Киа,202408,2942736.2375689046,11.0,156786
4211,Мерседес-Бенц,202307,3672575.111963209,6.0,229670
4212,Мерседес-Бенц,202303,5541009.188348395,27.0,220626
4213,Киа,202311,1641987.8182279242,33.0,140851
4214,Жигули,202301,521857.3936767312,45.0,130265
4215,Киа,202306,2229821.998048633,19.0,187284
4216,Lada,202406,882352.9953862086,28.0,164659
4217,Лада Самара,202308,465762.75028012856,21.0,149631
4218,Жигули,202412,231365.40862843848,23.0,127399
4219,Мерседес-Бенц,202304,7620336.549085236,3.0,186616
4220,Киа,202405,2149015.6359135387,3.0,154100
4221,Мерседес-Бенц,202501,3281741.1860624417,3.0,198591
4222,Lada,202410,770231.4008785193,38.0,129486
4223,Киа,202412,3152615.2423317237,8.0,147642
4224,Мерседес-Бенц,202306,6884328.834756107,34.0,193286
4225,Лада Самара,202409,530054.2108198996,4.0,167157
4226,Lada,202402,1075659.405006646,18.0,130909
4227,Lada,202409,978415.935180819,6.0,145185
4228,Мерседес-Бенц,202307,6011566.440376879,22.0,207136
4229,Киа,202411,2560793.624539235,37.0,134567
4230,Lada,202407,877385.7750785733,14.0,134194
4231,Киа,202406,2742106.423132764,0.0,142721
4232,Жигули,202301,380962.75174389087,2.0,137380
4233,Жигули,202307,326199.5586279474,8.0,119107
4234,Lada,202402,898116.568080098,8.0,121334
4235,Жигули,202303,295364.83734076744,4.0,106260
4236,Lada,202410,1117538.9299395685,11.0,150017
4237,Киа,202501,2273462.334557914,13.0,141524
4238,Киа,202402,2575397.912354866,29.0,153942
4239,Киа,202305,2983208.6000429294,38.0,129081
4240,Жигули,202401,350133.84551224404,80.0,146292
4241,Lada,202312,924490.7212361282,8.0,122174
4242,Lada,202306,1605031.9003728167,49.0,151291
4243,Lada,202311,1376692.1288223194,14.0,151672
4244,Лада Самара,202404,268757.77570213884,9.0,164516
4245,Киа,202302,2148707.354332025,27.0,137317
4246,Жигули,202311,406165.63052666216,15.0,122465
4247,Киа,202302,2524675.003321427,93.0,207213
4248,Киа,202501,2117468.429898216,1.0,136743
4249,Лада Самара,202405,200178.51984062945,13.0,132253
4250,Киа,202308,2594581.0092185107,2.0,158793
4251,Мерседес-Бенц,202304,7613214.838016955,5.0,223790
4252,Лада Самара,202406,494136.6440258081,20.0,163947
4253,Жигули,202409,334407.9717460012,62.0,117006
4254,Мерседес-Бенц,202409,5958502.160894612,9.0,194546
4255,Мерседес-Бенц,202401,5490655.111416494,72.0,212737
4256,Киа,202403,2763563.515767201,31.0,181022
4257,Мерседес-Бенц,202402,5207624.409858566,39.0,195885
4258,Лада Самара,202411,299299.75140077993,42.0,131493
4259,Киа,202409,1957198.8952991003,47.0,144748
4260,Жигули,202410,265522.00025973044,26.0,119513
4261,Киа,202501,2112419.0876979176,29.0,144770
4262,Киа,202305,1503864.7840917434,44.0,158451
4263,Лада Самара,202408,483283.7736335289,55.0,133317
4264,Жигули,202407,331588.3235015348,39.0,136124
4265,Мерседес-Бенц,202305,6253437.407242547,7.0,204206
4266,Жигули,202307,247487.71092131775,3.0,98725
4267,Lada,202411,1318734.252181425,19.0,159590
4268,Мерседес-Бенц,202501,5468394.662730664,34.0,225523
4269,Лада Самара,202404,420485.4108979386,17.0,151715
4270,Мерседес-Бенц,202307,5689886.768965674,0.0,187347
4271,Lada,202409,739907.0135901253,30.0,167578
4272,Мерседес-Бенц,202401,7028091.139422858,118.0,227358
4273,Киа,202410,2231700.0971954763,46.0,165087
4274,Lada,202404,972452.8142630982,38.0,110398
4275,Мерседес-Бенц,202404,4613008.391796951,25.0,203158
4276,Мерседес-Бенц,202404,4933917.155681736,52.0,222338
4277,Жигули,202404,406683.7819773034,7.0,124173
4278,Киа,202312,1454444.0381501396,7.0,140848
4279,Киа,202307,1379217.1782038384,32.0,115250
4280,Жигули,202310,434075.56797005894,16.0,124096
4281,Мерседес-Бенц,202403,4073293.097153224,91.0,216066
4282,Lada,202306,1119429.173118366,8.0,155872
4283,Мерседес-Бенц,202409,4188243.4491823553,74.0,222714
4284,Lada,202408,667071.360259616,8.0,136638
4285,Жигули,202302,320319.389406237,8.0,121852
4286,Лада Самара,202301,277047.8553541054,12.0,135829
4287,Жигули,202303,585211.8122953199,12.0,116334
4288,Киа,202406,2650229.0368983494,11.0,144472
4289,Жигули,202308,368773.0404284839,2.0,120439
4290,Лада Самара,202401,356990.69404004153,26.0,153458
4291,Мерседес-Бенц,202409,6950580.686452505,60.0,226852
4292,Lada,202402,749622.1762851953,5.0,140269
4293,Жигули,202310,246035.40639458306,5.0,103125
4294,Киа,202303,1813136.05048192,5.0,163595
4295,Lada,202309,623197.819052289,4.0,137890
4296,Lada,202311,677424.8486397289,1.0,166630
4297,Мерседес-Бенц,202307,5465583.795749089,26.0,209050
4298,Мерседес-Бенц,202301,5692032.1266423995,24.0,222824
4299,Киа,202312,2752125.0436500483,128.0,162894
4300,Мерседес-Бенц,202305,7499627.562139442,33.0,207992
4301,Киа,202409,2214992.007521017,8.0,150280
4302,Lada,202309,965382.1942000485,18.0,129885
4303,Киа,202411,1958534.4284993652,34.0,162315
4304,Лада Самара,202312,162564.61154264762,0.0,110088
4305,Лада Самара,202304,428747.4507655406,4.0,175414
4306,Киа,202301,2349978.3359001456,4.0,147249
4307,Жигули,202306,388377.9865811352,5.0,114165
4308,Lada,202408,1390776.9144037499,35.0,135349
4309,Мерседес-Бенц,202302,6186031.239223145,17.0,228097
4310,Lada,202501,601336.5705185209,10.0,144733
4311,Мерседес-Бенц,202402,7951627.4896324165,13.0,206502
4312,Киа,202301,2702008.2991837575,6.0,144079
4313,Мерседес-Бенц,202402,6445264.512133211,6.0,184187
4314,Киа,202402,2126576.7057205928,9.0,150030
4315,Киа,202309,2472547.8188391193,16.0,157786
4316,Киа,202408,2023896.7028106847,0.0,114295
4317,Лада Самара,202409,246512.52158125342,7.0,146465
4318,Киа,202310,1544502.2372907011,13.0,159122
4319,Киа,202410,2069188.6444111469,13.0,146801
4320,Киа,202309,1502151.0178459259,13.0,151385
4321,Лада Самара,202402,482901.85671911645,18.0,124394
4322,Lada,202404,586708.2700063075,37.0,138610
4323,Мерседес-Бенц,202311,4673335.6106847,10.0,167329
4324,Киа,202409,1649486.1585457595,26.0,168319
4325,Киа,202311,2398584.174160806,43.0,150603
4326,Жигули,202404,493544.5526603565,61.0,102991
4327,Жигули,202307,274571.72049277613,3.0,132410
4328,Лада Самара,202301,579979.9796631471,25.0,130336
4329,Lada,202312,1205560.7839522818,4.0,126967
4330,Лада Самара,202301,463434.2117852814,35.0,130935
4331,Мерседес-Бенц,202310,5126339.172078354,16.0,195879
4332,Киа,202402,1953232.1172749898,13.0,160681
4333,Жигули,202304,288150.9257444239,25.0,120799
4334,Киа,202409,1653478.4267224192,0.0,135682
4335,Lada,202403,715851.9353944096,13.0,131272
4336,Lada,202401,1019108.5759260664,7.0,152559
4337,Жигули,202304,333958.112750175,24.0,114685
4338,Киа,202301,2406288.067653941,54.0,152710
4339,Лада Самара,202301,320157.30246360716,1.0,117068
4340,Киа,202411,1266953.7659750883,47.0,173093
4341,Лада Самара,202410,382324.4418330023,7.0,125049
4342,Жигули,202302,223668.84660931348,16.0,141568
4343,Лада Самара,202303,312251.2733983204,2.0,166802
4344,Киа,202501,3088397.6641100137,50.0,165494
4345,Мерседес-Бенц,202407,5792976.195995762,6.0,190996
4346,Лада Самара,202301,409653.61599250947,12.0,122212
4347,Жигули,202305,471876.06223555567,97.0,140411
4348,Жигули,202412,332022.5434759429,3.0,122524
4349,Киа,202310,1991197.0705849424,9.0,150337
4350,Киа,202407,1853069.368537644,11.0,158857
4351,Жигули,202304,410220.70013052825,19.0,111476
4352,Lada,202310,814758.8781320001,54.0,134816
4353,Киа,202307,2035501.8331034146,10.0,136982
4354,Лада Самара,202308,341622.53064890555,39.0,141213
4355,Киа,202306,2569106.7738777716,3.0,158725
4356,Мерседес-Бенц,202305,6282797.118131472,34.0,233579
4357,Lada,202307,788676.9395615604,19.0,127884
4358,Мерседес-Бенц,202405,4271760.960855754,23.0,229553
4359,Мерседес-Бенц,202411,7493717.030428405,27.0,175549
4360,Киа,202307,2760781.5075250305,32.0,137520
4361,Мерседес-Бенц,202303,6306787.032542515,14.0,220415
4362,Лада Самара,202303,411763.96672300587,31.0,143755
4363,Жигули,202406,256115.60959324884,37.0,127915
4364,Киа,202305,1697363.869555592,50.0,130786
4365,Жигули,202311,373342.07791015774,42.0,137233
4366,Лада Самара,202308,368494.8441973418,35.0,140487
4367,Киа,202307,1410162.469141171,52.0,156020
4368,Киа,202309,2617122.908600895,21.0,164228
4369,Lada,202410,963745.2199823288,14.0,130234
4370,Жигули,202304,356052.6480149164,22.0,138401
4371,Lada,202405,863761.576731734,57.0,141839
4372,Лада Самара,202305,370027.42074438045,6.0,138489
4373,Жигули,202410,326620.3194675262,5.0,129892
4374,Жигули,202402,476447.0588510718,16.0,103456
4375,Лада Самара,202309,269989.925434718,54.0,130411
4376,Lada,202306,1289065.7119463738,19.0,131919
4377,Жигули,202302,184594.6577776393,27.0,114065
4378,Lada,202305,832818.9345236564,6.0,137999
4379,Киа,202311,2076052.7710004356,22.0,146618
4380,Lada,202301,863243.8330795058,13.0,147730
4381,Киа,202412,2256829.3280465016,120.0,159033
4382,Мерседес-Бенц,202305,4906976.373458983,0.0,179907
4383,Мерседес-Бенц,202402,6758210.87230582,2.0,205710
4384,Киа,202407,2545030.6869558576,11.0,136390
4385,Lada,202309,1185496.9619639476,42.0,122250
4386,Киа,202310,2379566.827637607,70.0,150108
4387,Киа,202310,1881722.1414183402,70.0,162390
4388,Мерседес-Бенц,202404,4200113.482739975,5.0,215197
4389,Мерседес-Бенц,202406,5119819.3845787775,2.0,213258
4390,Киа,202306,2088378.7739634146,11.0,142689
4391,Киа,202408,2207820.749250597,2.0,138749
4392,Жигули,202306,341130.30260252213,18.0,95526
4393,Киа,202309,2037993.1014694604,13.0,130786
4394,Киа,202402,2459775.6452320036,12.0,179149
4395,Жигули,202310,446827.5473195678,6.0,121383
4396,Lada,202308,1316438.4549608093,25.0,131015
4397,Лада Самара,202304,413880.5485684706,64.0,148951
4398,Мерседес-Бенц,202306,5471810.143638628,5.0,212772
4399,Жигули,202412,411435.3442364973,25.0,126623
4400,Лада Самара,202305,462293.7234686297,53.0,131211
4401,Жигули,202301,334822.83598112344,22.0,121095
4402,Мерседес-Бенц,202405,6354665.535377361,11.0,219305
4403,Жигули,202405,601402.7759103979,31.0,136597
4404,Лада Самара,202401,382462.1395496537,1.0,127712
4405,Лада Самара,202301,290357.65595139813,39.0,144583
4406,Лада Самара,202302,395224.4221627977,10.0,113265
4407,Lada,202301,591728.8951960467,0.0,116933
4408,Жигули,202409,299006.46537660377,15.0,117310
4409,Киа,202403,2153200.4166761315,3.0,132635
4410,Киа,202301,1667117.393157553,7.0,142372
4411,Мерседес-Бенц,202308,7953145.336446543,11.0,268036
4412,Lada,202406,757290.3093409699,12.0,162462
4413,Lada,202301,1122356.9697698718,41.0,121103
4414,Жигули,202412,257091.07644855135,0.0,110564
4415,Lada,202404,618868.6925108485,18.0,130756
4416,Жигули,202312,349025.5944304664,19.0,114221
4417,Lada,202305,672019.6180029584,23.0,118770
4418,Мерседес-Бенц,202403,4366589.80531087,21.0,203579
4419,Lada,202309,906985.957947755,21.0,125481
4420,Мерседес-Бенц,202304,4132743.028650785,4.0,176865
4421,Мерседес-Бенц,202408,7335795.002886084,5.0,190145
4422,Киа,202312,2357345.0298403865,21.0,170460
4423,Lada,202405,959680.4335089978,15.0,128745
4424,Жигули,202307,469615.9799794042,-100.0,115904
4425,Киа,202408,2391668.1563751656,38.0,153089
4426,Мерседес-Бенц,202408,5156051.859907728,45.0,231819
4427,Киа,202305,2553499.7348972703,37.0,132663
4428,Lada,202309,794330.9652077158,0.0,134505
4429,Лада Самара,202310,419336.97567398474,1.0,131660
4430,Жигули,202311,371617.86433044623,22.0,133286
4431,Жигули,202401,254401.0966218728,0.0,120422
4432,Киа,202411,2727385.9916648897,12.0,182521
4433,Жигули,202403,467830.27794323757,121.0,117416
4434,Киа,202402,1804544.4883013663,4.0,135516
4435,Жигули,202305,290305.17571341933,18.0,113740
4436,Киа,202408,2137020.3551602764,5.0,152875
4437,Киа,202403,2782378.9199368097,22.0,170726
4438,Киа,202410,1548345.2168220258,3.0,169710
4439,Лада Самара,202305,325905.69486332533,149.0,129307
4440,Мерседес-Бенц,202501,8614279.804592589,2.0,239602
4441,Жигули,202312,197484.17859156063,137.0,126573
4442,Лада Самара,202305,364741.57738802384,44.0,135049
4443,Жигули,202401,439163.1536743644,10.0,120310
4444,Киа,202405,2902611.157735336,24.0,174268
4445,Lada,202307,1134288.7531978483,6.0,122480
4446,Киа,202312,1677619.504488402,26.0,157339
4447,Киа,202412,2296029.401464952,43.0,155555
4448,Жигули,202309,437770.7802478358,8.0,105682
4449,Жигули,202309,404655.55419924244,28.0,94346
4450,Лада Самара,202412,891325.0708307611,11.0,136345
4451,Lada,202304,680997.032078747,9.0,118638
4452,Жигули,202408,425113.2992438242,2.0,114934
